Company,Country,Education,Employment Type,Experience,Id,Locality,Location,Postalcode,Posted At,Region,Salary,Skills,Title,Latitude,Longitude,Abbr,,,,,,
AVI Foodsystems Inc,US,High School,FULL_TIME,At least 3 years experience.,7971842b-7019-5d7c-9674-60c88cfc1564,Staten Island,POINT(-74.15020000 40.57953000),,2021-04-27T14:18Z,NY,40,"Outline Of Food Preparation, Storage (Warehousing), Food Safety, Sanitation, Food Services, Distribution (Business), Cooking, Scheduling, Purchasing, Hospitals",Patient Services Supervisor (Healthcare),40.57953,-74.1502,36,,,,,,
The TJX Companies Inc,US,,FULL_TIME,At least 1 year experience.,1412ce69-86a9-50d0-9b5c-b29aa5ad37f8,Norcross,POINT(-84.21353000 33.94121000),,2021-04-30T08:34:29Z,GA,,"Sales, Merchandising, Scheduling, Management, Retailing, Coaching And Mentoring, Mentorship, Leadership, Attention To Detail, Communication, Coordinating, Requirement Prioritization, Customer Service, Training, Trustworthy, Confidentiality, Customer Experience, Labour Laws",70126-Backroom Coor,33.94121,-84.21353,13,,,,,,
YUM-KFC Corporation,US,,FULL_TIME,At least 15 years experience.,9cc7c9ee-e164-5c28-afd4-798b46292621,Indianapolis,POINT(-86.15807000 39.76840000),,2021-04-18T04:27:20Z,IN,,"Passionate, Learning, Restaurant Operation, Trustworthy, Training",KFC Team Member,39.7684,-86.15807,18,,,,,,
Army National Guard,US,,FULL_TIME,,10772ba4-c46c-5dc7-9a6f-0b39785ba820,Manchester,POINT(-71.45479000 42.99564000),,2021-04-13T01:31:40Z,NH,,"Telecommunications, Satellite Communications, Emergency Handling, Decoding, Communication, Operations, Maintenance, Logging (Construction)",25S Satellite Communication Systems Operator-Maintainer,42.99564,-71.45479,33,,,,,,
Experis,US,High School,FULL_TIME,3 to 5 years experience.,66811b1a-d8b5-5f80-86cf-8021f9e77ed9,Tempe,POINT(-111.94000000 33.42551000),,2021-04-10T01:03:29Z,AZ,,"Attention To Detail, Coordinating, Accounts Payable, Self Motivation, Process Improvements (Business), Portable Document Format, Optical Character Recognition (OCR), Management, Invoice Processing, Microsoft Excel, Microsoft Outlook",US - Versum - Accounts Payable,33.42551,-111.94,4,,,,,,
Clinical Management Consultants,US,,FULL_TIME,No experience required.,8f623a62-98d6-5c9b-9ecc-a83d46184060,Brewster,POINT(-70.06223000 41.74828000),2631,2021-04-15T02:11:31Z,MA,,,Assistant Nurse Director Med Surg,41.74828,-70.06223,25,,,,,,
CBIZ,US,4 Year Degree,FULL_TIME,At least 3 years experience.,b30f7e97-bcbb-5a99-89f8-d60254684cba,Charlotte,POINT(-80.84312000 35.22709000),,2021-05-01T01:01:42Z,NC,,"Generally Accepted Accounting Principles, Revenue Recognition, Fixed Asset, Business Administration, Verbal Communication, Written Communication, Financial Statements, Master Of Business Administration (MBA), International Financial Reporting Standards, Complex Problem Solving, Certified Public Accountant, Finance, Accounting, Analytical, Communication, Certified Internal Auditor, Leadership, Certified Information Systems Security Professional, Microsoft Excel, Certified Information Security Manager, Investments, Presentations, Leasing (Contract Law), Chartered Financial Analyst, Microsoft Office",Technical & Transactional Accounting Senior Consultant,35.22709,-80.84312,37,,,,,,
AdventHealth Ocala,US,Bachelor's Degree,FULL_TIME,2 to 3 years experience.,e90315c8-4293-5b72-8c06-6767dac3d7d1,Ocala,POINT(-82.14009000 29.18720000),,2021-04-11T08:42:18Z,FL,,"Pediatric Advanced Life Support, Advanced Cardiovascular Life Support (ACLS), Basic Life Support, Nursing, Microsoft Excel, Microsoft PowerPoint, Health Administration, Project Commissioning",Registered Nurse Clinical Educator Full Time Days Ocala,29.1872,-82.14009,12,,,,,,
Amazon,US,High School,FULL_TIME,,814f5d2d-544b-597e-820c-18bd912467a5,Upper Marlboro,POINT(-76.74969000 38.81595000),20772,2021-05-03T12:35:05Z,MD,,,Amazon Warehouse Assistant (Plus Benefits Day One) - Earn up to $16.90/hr,38.81595,-76.74969,24,,,,,,
Synerfac,US,,CONTRACTOR,,86cf61b5-5841-5f83-8e21-790d60d0e2f4,Cranbury,POINT(-74.51117000 40.32253000),8512,2021-04-07T16:41:10Z,NJ,,"Microsoft Excel, Instructions, Product Quality Assurance, Software Quality Control, Test Equipment, Testing, Attention To Detail, Spectrometer, Documentation, Clerical Works, Product Testing, Data Entry, Reconciliation, Verification",Quality Control Technician,40.32253,-74.51117,34,,,,,,
My Medical Career,US,High School,FULL_TIME,,6ddc7640-3909-5b42-8fe7-8f7214c5bffe,Huntington,POINT(-85.49747000 40.88310000),46750,2021-05-01T03:03:42Z,IN,,Health Care,ONLINE MEDICAL ASSISTANT CAREER TRAINING - LEARN FROM HOME,40.8831,-85.49747,18,,,,,,
Temecula Valley Comprehensive Treatment Center,US,Vocational Certificate,FULL_TIME,At least 1 year experience.,c40fcc3f-5b14-5267-a68d-8b79c837887b,Murrieta,POINT(-117.21390000 33.55391000),,2021-04-15T15:48:50Z,CA,,"Licensed Practical Nurse, Nursing, Licensed Vocational Nurses, Medication Administration, Scheduling",Licensed Vocational Nurse LVN,33.55391,-117.2139,6,,,,,,
Preferred Staffing,US,Other,FULL_TIME,At least 2 years experience.,9a052c1b-58a8-5e86-8302-49fd8ca5366e,Portland,POINT(-122.67330000 45.51696000),97204,2021-04-06T05:25:54Z,OR,,"Pathology, Public Speaking, Speech-Language Pathology, Service Location Protocol, American Safety & Health Associates, American Speech-Language-Hearing Association, Basic Life Support, Cardiopulmonary Resuscitation, Ethics",SLP - Acute Care,45.51696,-122.6733,41,,,,,,
Marriott Vacations Worldwide,US,,PART_TIME,,7a3ee740-ff6f-5bc3-98e2-e36905223b97,Lahaina,POINT(-156.69130000 20.93920000),96761,2021-04-13T00:38:37Z,HI,,"Scheduling, Attention To Detail, Asset Management, Confidentiality",Front Desk Agent (On-Call),20.9392,-156.6913,15,,,,,,
The TJX Companies Inc,US,,FULL_TIME,,a5dfa1ff-3d4d-5366-8649-6558d256c3e6,Upland,POINT(-117.64840000 34.09751000),,2021-04-30T07:40:45Z,CA,,"Merchandising, Loss Prevention, Sales, Retailing, Scheduling, Customer Service, Attention To Detail, Coordinating, Customer Experience, Trustworthy, Communication",Merchandise Associate,34.09751,-117.6484,6,,,,,,
Robert Half,US,,FULL_TIME,2 to 3 years experience.,ecd103cb-0e01-5d6d-a1e7-18848038733e,El Segundo,POINT(-118.40460000 33.91500000),90245,2021-04-21T16:30:33Z,CA,"$130,000.00 - $165,000.00 / year","Reports, Node.Js, Leadership, E-Commerce, Information Technology, On Prem, Engineering Management, Amazon Web Services, Microservices, SQL (Programming Language), Architecture",Engineering Manager 100% remote,33.915,-118.4046,6,,,,,,
PenFed Credit Union,US,Associate's Degree,FULL_TIME,At least 1 year experience.,2e44a96c-626a-53a9-9207-958968080f1b,San Antonio,POINT(-98.49363000 29.42412000),,2021-04-14T17:40:16Z,TX,,"Mortgage Loans, Loans, Underwriting, Settlement, Equities, Spanish Language, Product Quality Assurance, English Language, Booking (Sales), Storage (Warehousing), Accounting, Scheduling, Laws, Encompass",Equity Loan Closer,29.42412,-98.49363,48,,,,,,
The LaSalle Network Inc,US,,FULL_TIME,1 to 3 years experience.,b6eb34b4-f43d-5cb7-9e6d-23bf1845d302,Chicago,POINT(-87.62980000 41.87811000),,2021-05-03T10:29:08Z,IL,"$18,000.00 - $20,000.00 / year","Health Insurance, CPT Coding, Medical Billing And Coding, Implantable Cardioverter-Defibrillator, Claims, Billing, Self Motivation, Computer Literacy, Communication, Insurance, Management",Medical Biller,41.87811,-87.6298,17,,,,,,
Robert Half,US,Bachelor's Degree,FULL_TIME,No experience required.,bbb20e54-11c8-5ccc-aa72-de91a5b29332,New York,POINT(-73.96978000 40.75198000),10017,2021-04-19T10:31:54Z,NY,"$120,000.00 - $150,000.00 / year","Self Motivation, Communication, Social Skills",Executive Assistant,40.75198,-73.96978,36,,,,,,
Dollar Tree Stores,US,,FULL_TIME,,bf1ea79d-9e0c-5925-be2c-13cf4e384fa8,Hernando,POINT(-89.99370000 34.82399000),,2021-04-05T02:51:18Z,MS,,"Customer Service, Merchandising, Sales, Unloading, Trustworthy, Verbal Communication, Information Security",SALES FLOOR ASSOCIATE,34.82399,-89.9937,28,,,,,,
McLane Company,US,High School,FULL_TIME,,b1663e5f-387e-5992-ae82-1db1a754c452,Sturtevant,POINT(-87.89452000 42.69807000),,2021-05-03T01:09:34Z,WI,,"Shrink Wrap, Palletizing, Sanitation",CLEAN-OUT,42.69807,-87.89452,55,,,,,,
Interim HealthCare,US,Other,"FULL_TIME, PART_TIME",At least 1 year experience.,f033eed1-28b3-5333-b507-f3682d13aac8,Florence,POINT(-84.65837000 38.98033000),41042,2021-04-12T13:41:31Z,KY,,"Navigation, Instructions, Health Systems, Home Care, Nursing, Housekeeping, Hygiene, Health Care, Scheduling, Self Care, Activities Of  Daily Living (ADLs), Certified Nursing Assistant, Attention To Detail, Communication","Home Health Aide, HHA/CNA",38.98033,-84.65837,21,,,,,,
Collabera,US,,FULL_TIME,,b5fb2950-ac53-5edf-a24f-53f992bf6440,Atlanta,POINT(-84.46452000 33.86769000),30339,2021-04-22T20:30:32Z,GA,$1.00 - $65.00 / hour,"Services Sectors, Mapping, Data Centers, Data Management, Automation, Data Modeling, Testing, Core Banking, Data Migration, Financial Services, Banking",solution/ Data Architect,33.86769,-84.46452,13,,,,,,
Windstream,US,4 Year Degree,FULL_TIME,3 to 4 years experience.,7effd5d8-1bd7-5526-8511-f0ccde5f1884,Columbus,POINT(-82.99879000 39.96117000),,2021-05-01T01:03:22Z,OH,,"Customer Experience, Customer Relationship Management, Customer Satisfaction, Scheduling, Positioning, Service Delivery, Business Valuation, Business Model, Sales, Stakeholder Management, Telecommunications, Engineering, Multitasking",Customer Success Manager,39.96117,-82.99879,39,,,,,,
"Family Dollar Stores, Inc.",US,High School,FULL_TIME,,628e6132-67ce-53fd-8c47-1342282f013d,Lorado,POINT(-81.71484000 37.79566000),25630,2021-05-04T06:37:46Z,WV,,"Retailing, Restaurant Operation, Decision Making, Complex Problem Solving, Communication, Scheduling, Sales, Merchandising, Unloading, Stocks (Inventory), Customer Service",CUSTOMER SERVICE REPRESENTATIVE,37.79566,-81.71484,54,,,,,,
NPL Construction Co.,US,High School,FULL_TIME,1 to 3 years experience.,7b503038-def7-560e-b8f5-b716b752a6a7,Sugar Land,POINT(-95.65631000 29.63385000),77498,2021-04-10T01:07:06Z,TX,,"Scheduling, Training, Recruitment, Human Resources, Risk Analysis, Warehousing, Auditing, Microsoft Excel, Microsoft Outlook, Authorization (Medical)",Human Resources Representative,29.63385,-95.65631,48,,,,,,
TCV Community Services,US,Master's Degree,PART_TIME,,e5577955-8dff-5584-88b5-42b8df062362,Homestead,POINT(-79.91199000 40.40590000),15120,2021-05-04T00:45:50Z,PA,,"Licensed Clinical Social Worker (LCSW), Licensed Professional Counselor (LPC)",MH Outpatient Therapist,40.4059,-79.91199,42,,,,,,
Levy,US,,FULL_TIME,No experience required.,881df374-e0a8-5a49-a0db-3d7f5388a303,Washington,POINT(-77.03687000 38.90719000),,2021-04-13T10:39:28Z,DC,,"Beverage Products, Scheduling, Culinary Arts, Performance Management, Management, Displaying (Exhibition), Purchasing, Training, Sanitation, Leadership, Operational Planning, Information Security, Operations",Senior Sous Chef,38.90719,-77.03687,11,,,,,,
Dollar Tree Stores,US,,FULL_TIME,,346514c4-6c82-5980-a66e-c7505bf49c7f,Las Vegas,POINT(-115.13980000 36.16994000),,2021-05-04T06:51:54Z,NV,,"Customer Service, Merchandising, Sales, Unloading, Trustworthy, Verbal Communication, Information Security",SALES FLOOR ASSOCIATE,36.16994,-115.1398,32,,,,,,
YUM-KFC Corporation,US,,FULL_TIME,,eab2eb01-7ae0-5340-8702-c302e9efbbc0,Keokuk,POINT(-91.39639000 40.40447000),52632,2021-04-18T20:26:05Z,IA,,,KFC Team Member,40.40447,-91.39639,19,,,,,,
The TJX Companies Inc,US,,FULL_TIME,,bd7f7987-345a-5756-ba15-0b382cb25486,Old Saybrook,POINT(-72.38453000 41.29602000),,2021-05-02T09:56:25Z,CT,,"Merchandising, Loss Prevention, Sales, Retailing, Scheduling, Customer Service, Attention To Detail, Coordinating, Customer Experience, Trustworthy, Communication",70120-Merchandise Associate,41.29602,-72.38453,9,,,,,,
Driveline Retail,US,,FULL_TIME,1 to 2 years experience.,0ff4cd6a-ca42-56e7-9ccc-bea5746c2a2b,Vine Grove,POINT(-85.98135000 37.81007000),,2021-04-29T13:04:56Z,KY,"$33,750.00 - $89,691.00 / year","Displaying (Exhibition), Retailing, Merchandising, Customer Service, Communication",Retail Merchandiser,37.81007,-85.98135,21,,,,,,
Best Version Media,US,,FULL_TIME,No experience required.,9e5273dc-e8ab-5197-9180-737da23373bf,Charleston,POINT(-81.63262000 38.34982000),,2021-04-16T16:24:38Z,WV,,"Scheduling, Success Driven, Hardworking And Dedicated, Commercial Awareness, Advertising Sales, Sales, Business To Business",Sales Executive - B2B - In Person or Remote,38.34982,-81.63262,54,,,,,,
Driveline Retail,US,High School,"FULL_TIME, PART_TIME",,4859e77f-4e6c-534f-a7aa-2adfa8b016c0,Youngstown,POINT(-80.64952000 41.09978000),,2021-04-30T15:39:10Z,OH,$12.50 - $15.00 / hour,"Displaying (Exhibition), Renovation, Merchandising, Retailing, Installations (Manual/Mechanical)",Heavy Project Retail Merchandiser - Travel,41.09978,-80.64952,39,,,,,,
Jackson Nurse Professionals,US,Other,FULL_TIME,,07936445-577a-5d7c-a36d-b82f784c6398,Cleveland,POINT(-81.67268000 41.49080000),44101,2021-04-16T17:24:56Z,OH,,"Intensive Care, Advanced Cardiovascular Life Support (ACLS), Basic Life Support, Registered Nurse Certified, Medical Records, Hospitals, Acute Care",Registered Nurse - Stepdown - 13 Weeks - COVID-19 Need,41.4908,-81.67268,39,,,,,,
Express Employment Professionals - Virginia Beach,US,,FULL_TIME,No experience required.,147fc2d9-af98-5a25-9dd1-0cae1c742b43,Virginia Beach,POINT(-76.14359000 36.89745000),23455,2021-05-04T00:52:11Z,VA,$15.00 - $16.00 / hour,"Accounts Receivable, Filing, Computer Literacy, Collections, Attention To Detail, Customer Service, Coordinating, Team-working, Invoice Processing, Data Entry, Clerical Works","Office Assistant, G029",36.89745,-76.14359,51,,,,,,
St. Mary Medical Center,US,Associate's Degree,FULL_TIME,No experience required.,05d7d5fb-3a88-5213-8711-5611145a82cd,Hobart,POINT(-87.25504000 41.53226000),,2021-05-01T03:49:22Z,IN,,"Clinical Works, Testing, Diseases And Disorders, Lab Tests, Instrumentation, Medical Technologist, Medical Laboratory",MT,41.53226,-87.25504,18,,,,,,
Confidential,US,,FULL_TIME,,6e42ab8d-4d14-52d6-9009-d75a0ed30ba3,Washington,POINT(-77.03687000 38.90719000),,2021-04-22T01:04:38Z,DC,"$75,000.00 - $100,000.00 / year","File Organization, Storage (Warehousing), Scheduling",Secretary (Office and Administrative Support),38.90719,-77.03687,11,,,,,,
"Blue World Pools, Inc. of Atlanta",US,,"FULL_TIME, PART_TIME",,b89f59af-05c8-527b-83a9-f97402f834d5,Norcross,POINT(-84.21353000 33.94121000),,2021-04-30T14:40:27Z,GA,$12.00 - $14.00 / hour,"Administration, Customer Service, Training",ADMINISTRATIVE ASISTANT | HIRING IMMEDIATELY |  HIRING EVENT,33.94121,-84.21353,13,,,,,,
Chrysler Dealer Sales,US,High School,FULL_TIME,,3a5d3125-2f8b-51c4-b0a1-2de9e6118f5b,Lewiston Woodville,POINT(-77.18441000 36.11599000),27849,2021-05-02T01:07:51Z,NC,,"Customer Service, Selling Techniques, Sales, Automotive Sales, Extroverted, Administration, Social Skills, Hardworking And Dedicated, Sales Process, Training, Written Communication",Sales Representative / Automotive Sales Consultant,36.11599,-77.18441,37,,,,,,
Tutors At Preply,US,,CONTRACTOR,No experience required.,354d65fa-98c8-5601-956b-8ba3b6a3ef72,Phoenix,POINT(-112.07400000 33.44838000),,2021-04-17T10:53:41Z,AZ,$15.00 - $45.00 / hour,"Passionate, English Language, Teaching, Friendliness, Internet Connection",English Online Tutor (remote),33.44838,-112.074,4,,,,,,
Medical Sales Recruiting,US,,FULL_TIME,No experience required.,c71b8e2e-ad8f-558c-9c46-be132d8fdb6d,Aurora,POINT(-88.32007000 41.76059000),,2021-04-19T01:04:49Z,IL,"$36,000.00/ year","Recruitment, Career Development, Professional Development, Training",Medical Sales - Paid Internship,41.76059,-88.32007,17,,,,,,
Transformco,US,High School,FULL_TIME,,95ba7a77-7627-53cd-9e0c-e4a74a4c44f5,Schaumburg,POINT(-88.08340000 42.03336000),,2021-04-29T17:19:44Z,IL,$15.00 - $17.00 / hour,"Customer Service, Clerical Works, Customer Satisfaction, Critical Thinking, Network Routing",Customer Service Representative No Sales,42.03336,-88.0834,17,,,,,,
Family First Life Prestige,US,,"FULL_TIME, PART_TIME",,0bb10a22-cb68-5419-be1e-8cd4520f20e4,Norfolk,POINT(-76.28587000 36.85077000),,2021-04-15T01:12:08Z,VA,"$50,000.00 - $175,000.00 / year","Scheduling, Sales Territory, Mortgage Loans, Life Insurance, Sales, Sales Management, Training, Underwriting, Reports, Hardworking And Dedicated, Mentorship, Coaching And Mentoring, Insurance, Retirement Planning, Project Commissioning",Sales Representative,36.85077,-76.28587,51,,,,,,
Charlie's Jeep,US,,FULL_TIME,At least 2 years experience.,1ef6cdf0-48a9-5e23-a161-871c8ee42c2f,Portland,POINT(-70.25682000 43.65910000),,2021-04-23T01:03:54Z,ME,,"Driving, Automotive Service Excellence, Transmission, Automotive Services, Customer Satisfaction, Brakes, Mechanics, Steering, Training, Maintenance, Suspension (Vehicle), Manufacturing",Automotive Technician/ Auto Mechanic,43.6591,-70.25682,23,,,,,,
My Medical Assisting Career,US,High School,FULL_TIME,,f9be7f4d-7be0-5504-bc62-cfa5a182a82f,Willow Grove,POINT(-75.11573000 40.14400000),,2021-05-01T02:55:13Z,PA,,"Administration, Health Care",MEDICAL ASSISTANT CAREER TRAINING - LOCAL MEDICAL TRAINING AVAILABLE,40.144,-75.11573,42,,,,,,
Immediate Hire,US,,FULL_TIME,No experience required.,070cfd25-61b1-51f7-ad0d-d36ceffd8e85,Fairfield,POINT(-122.04050000 38.24920000),,2021-04-11T01:04:34Z,CA,"$40,000.00 - $60,000.00 / year","Sales Management, Office Management, Sales, Marketing, Retailing, Restaurant Operation, Recruitment, Hospitality, Customer Service, Human Resources, Entrepreneurship, Purchasing, Business Development, Social Work, Customer Relationship Management, Advertising, Public Relations, Medical Sales, Management, Food Services, Insurance, Quality Management, Telecommunications, Pharmaceutical Sales, Accounting, Distribution (Business), Communication, Administration, Finance, Bookkeeping, Serving (Food), Customer Support, Training, Multilingualism, Data Entry, Collections, Construction, Real Estates, Teaching, Help Desk",CUSTOMER SERVICE REPRESENTATIVE: ENTRY LEVEL,38.2492,-122.0405,6,,,,,,
Boston Direct Inc,US,High School,FULL_TIME,At least 1 year experience.,c834037f-1102-56c3-941d-2dc91e846755,Westborough,POINT(-71.61613000 42.26952000),,2021-04-20T08:22:51Z,MA,$13.50/ hour,"Hardworking And Dedicated, Curiosity, Customer Service, Retailing, Sales, Diseases And Disorders",Customer Service Representative,42.26952,-71.61613,25,,,,,,
"Roofing & Restoration Services of America, LLC",US,,FULL_TIME,,df589e1e-b1f6-5a06-ba7f-ff890927cd19,Indianapolis,POINT(-86.15807000 39.76840000),,2021-04-13T09:04:53Z,IN,,"Roofing, Rain Gutters, Customer Service, Sales, Insurance, Social Security",Outside Sales Representative,39.7684,-86.15807,18,,,,,,
Confidential,US,,CONTRACTOR,4 to 6 years experience.,d2fc00fb-32ed-5e4c-af4a-6601804c7eef,Urbandale,POINT(-93.71217000 41.62666000),,2021-04-08T01:08:59Z,IA,$65.00 - $67.00 / hour,"Kubernetes, Docker, Terraform, Jenkins, Amazon Web Services, Circleci, Integration, Business Process, Application Development, Project Planning, Software Packaging, Scheduling, Information Technology, Java (Programming Language), Complex Problem Solving, Best Practices, Decision Making, Testing, Analysis, Infrastructure, Communication, Server (Computer Science), Extreme Programming, Debugging, JavaScript (Programming Language), Project Management, Python (Programming Language), Test-Driven Development (TDD), Scala (Programming Language), Operations, Workflows, Software Development, Automation",Information Technology Analyst,41.62666,-93.71217,19,,,,,,
Lincoln Harris,US,Bachelor's Degree,FULL_TIME,At least 3 years experience.,dae781f5-05b6-5a1b-922c-ba8032c1c4cf,Charlotte,POINT(-80.84312000 35.22709000),,2021-04-28T14:28:46Z,NC,,"Attention To Detail, Coordinating, Professional Attitude, Verbal Communication, Self Motivation, Interpersonal Skills, Time Management, Communication, Written Communication, Confidentiality, Decision Making, Multitasking, Customer Service, Data Entry, Real Estates, Property Management, Fine Motor Skills, Keying (Lock), Accounting, Microsoft Excel, Microsoft Outlook, Fax, Emergency Handling",Accounting Supervisor,35.22709,-80.84312,37,,,,,,
Bankers Life,US,,FULL_TIME,No experience required.,458f224c-ff36-52a4-b2e4-bb63a30ff7d9,Chico,POINT(-121.79250000 39.74927000),95928,2021-04-20T01:04:57Z,CA,"$41,000.00 - $62,000.00 / year","Field Research, Scheduling, Insurance Sales, Insurance Policies, Sales",Insurance Agent – Entry Level Sales,39.74927,-121.7925,6,,,,,,
Dunham's Sports,US,,FULL_TIME,No experience required.,8a5b634a-94b8-51bb-8d3c-6a6c6a6137cf,Columbia,POINT(-87.05196000 35.59499000),38401,2021-04-12T15:42:13Z,TN,,"Passionate, Administration, Customer Service, Apparel, Training, Merchandising, Retailing",Key Team Leader (Key Holder),35.59499,-87.05196,47,,,,,,
Retail Data,US,,FULL_TIME,At least 5 years experience.,3ac9f277-42a1-5294-8062-062360ade88c,Glen Allen,POINT(-77.58899000 37.64613000),23060,2021-04-15T17:02:42Z,VA,"$65,000.00 - $90,000.00 / year","Technical Sales, Business Strategies, Operationalization, New Business Development, Sales, Retailing, Analytics, Marketing, Scheduling, Revenues, Turnkey (Business), Apache Flex, Leadership, Selling Techniques, Marketing Strategies",Sales / Business Development Manager,37.64613,-77.58899,51,,,,,,
"Connect Search, LLC",US,4 Year Degree,FULL_TIME,No experience required.,9112fdad-a9ee-5d53-9545-a28ffe4b90df,Madison,POINT(-89.40089000 43.05920000),53715,2021-04-15T11:56:56Z,WI,$20.00 - $22.00 / hour,"Accounting, Mathematics, Calculations, Accruals, Accounting Softwares, General Ledger, Reconciliation, Multitasking",Entry Level Accounting Assistant,43.0592,-89.40089,55,,,,,,
